id,question,desired_answer,student_answer,score_me,score_other,score_avg
3.2,What is the scope of global variables?,File scope.,Any functions that follows their deceleration that  are in the source code file are allowed to have access the variables.  Also global scope variables retrain their value throughout the execution of the program.,5,5,5
3.2,What is the scope of global variables?,File scope.,they can be accessed by any C++ file anywhere.,0,5,2.5
3.2,What is the scope of global variables?,File scope.,Global variables have file scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,The scope of global variables are created by placing variable declarations outside any class or function definition.  Global variables retain their values throughout the execution of the program and they can be referenced by any function that follows their declarations or definitions in the source file.,0,5,2.5
3.2,What is the scope of global variables?,File scope.,A global variable is an identifier that retains it's value throughout the execution of the program. It has file scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,Global Variables can be used in any function as long as the appropriate .h file that holds the variable is included,3,5,4
3.2,What is the scope of global variables?,File scope.,They can be accessed by any part of the program. It can be referenced by any function that follows the declarations or definitions in the source file.,5,5,5
3.2,What is the scope of global variables?,File scope.,can be accesed by any classes that have and object of that variables class in it,1,5,3
3.2,What is the scope of global variables?,File scope.,Global variables have file-scope.  The variable is know to all functions throught the file,5,5,5
3.2,What is the scope of global variables?,File scope.,The entire program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,They have file scope when placed outside a function.,5,5,5
3.2,What is the scope of global variables?,File scope.,File scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,They can be used throughout the program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,Global variable can b accessed by any class wit an object in the variables class,1,5,3
3.2,What is the scope of global variables?,File scope.,The scope of global variables is at the file level.,5,5,5
3.2,What is the scope of global variables?,File scope.,Global variables all have file scope.,5,5,5
3.2,What is the scope of global variables?,File scope.,it is accessible by all functions within a program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,"variables accessible anywhere in the program, as long as they are public.",4,5,4.5
3.2,What is the scope of global variables?,File scope.,They can be referenced by any function following their declaration or definition inside the source file.,5,5,5
3.2,What is the scope of global variables?,File scope.,"globally, anywhere in the program.",4,5,4.5
3.2,What is the scope of global variables?,File scope.,Global variables have a file scope,5,5,5
3.2,What is the scope of global variables?,File scope.,The entire program.,4,5,4.5
3.2,What is the scope of global variables?,File scope.,throughout the execution of the program,4,5,4.5
3.2,What is the scope of global variables?,File scope.,"If a variable is declared global, any function or class can use that variable.",4,5,4.5
3.2,What is the scope of global variables?,File scope.,The entire program or file.,5,5,5
3.2,What is the scope of global variables?,File scope.,throught the programm,4,5,4.5
3.2,What is the scope of global variables?,File scope.,the whole code,4,5,4.5
3.2,What is the scope of global variables?,File scope.,File scope,5,5,5
3.2,What is the scope of global variables?,File scope.,can be referenced by any function that follows their declarations or definitions in the source file,5,5,5
3.2,What is the scope of global variables?,File scope.,global variables have program scope (accessible anywhere in program),4,5,4.5
3.2,What is the scope of global variables?,File scope.,variables that exist throught the entire script. their values can be changed anytime in the code and fucntions.,4,5,4.5
